servers:	1634								
{	10416	0	0.000	0.000	0	}			
{	10417	3	49.888	30.448	38	}			
{	10418	4	1.379	23.405	43	}			
{	10419	4	1.414	22.921	50	}			
{	10420	4	1.234	22.835	25	}			
{	10421	3	65.119	39.608	56	}			
{	10422	4	1.259	26.366	29	}			
{	10423	3	37.676	22.912	30	}			
{	10424	4	1.320	27.552	35	}			
{	10425	3	89.041	54.241	73	}			
{	10426	4	1.181	20.490	21	}			
{	10427	4	1.458	21.213	64	}			
{	10428	3	104.021	63.356	89	}			
{	10429	4	1.329	16.187	33	}			
{	10430	3	43.574	26.558	34	}			
{	10431	3	64.337	39.150	52	}			
{	10432	4	1.111	15.050	15	}			
{	10433	4	1.366	9.864	35	}			
{	10434	0	0.000	0.000	0	}			
{	10435	4	1.469	11.813	57	}			
{	10436	4	1.513	20.219	73	}			
{	10437	4	1.449	24.796	58	}			
{	10438	4	1.343	18.243	38	}			
{	10439	4	1.377	20.442	44	}			
{	10440	3	98.783	60.595	70	}			
{	10441	4	1.456	27.666	64	}			
{	10442	3	32.358	19.699	27	}			
{	10443	4	1.518	12.000	67	}			
{	10444	4	1.416	8.941	43	}			
{	10445	4	1.256	18.176	29	}			
{	10446	4	1.304	20.868	31	}			
{	10447	4	1.446	15.998	58	}			
{	10448	4	1.191	23.334	21	}			
{	10449	4	1.412	20.772	51	}			
{	10450	4	1.331	17.903	36	}			
{	10451	4	1.160	10.390	17	}			
{	10452	0	0.000	0.000	0	}			
{	10453	4	1.363	12.317	34	}			
{	10454	4	1.253	16.164	24	}			
{	10455	3	60.080	36.614	49	}			
{	10456	4	1.431	12.065	48	}			
{	10457	4	1.451	8.553	55	}			
{	10458	2	0.000	0.000	52	}			
{	10459	3	24.585	14.988	21	}			
{	10460	3	58.220	35.462	48	}			
{	10461	4	1.245	13.842	25	}			
{	10462	3	62.629	38.109	52	}			
{	10463	3	58.674	35.736	49	}			
{	10464	3	48.152	29.535	33	}			
{	10465	4	1.327	15.597	35	}			
{	10466	4	1.472	17.534	64	}			
{	10467	4	1.198	16.431	23	}			
{	10468	4	1.332	18.334	36	}			
{	10469	4	1.251	11.803	23	}			
{	10470	4	1.347	10.841	34	}			
{	10471	4	1.350	10.415	34	}			
{	10472	3	87.702	59.166	48	}			
{	10473	3	68.430	41.657	54	}			
{	10474	4	1.197	17.784	21	}			
{	10475	4	1.292	14.366	30	}			
{	10476	0	0.000	0.000	0	}			
{	10477	2	0.000	0.000	9	}			
{	10478	3	76.413	46.522	61	}			
{	10479	4	1.435	16.944	53	}			
{	10480	4	1.128	13.561	17	}			
{	10481	4	1.452	13.612	47	}			
{	10482	3	29.697	18.101	23	}			
{	10483	3	36.209	22.068	28	}			
{	10484	3	39.393	24.027	31	}			
{	10485	4	1.347	18.673	41	}			
{	10486	3	45.923	27.949	38	}			
{	10487	4	1.339	19.565	38	}			
{	10488	4	1.387	18.805	40	}			
{	10489	4	1.446	34.935	62	}			
{	10490	4	1.397	24.684	51	}			
{	10491	4	1.083	27.288	17	}			
{	10492	3	77.468	47.151	59	}			
{	10493	4	1.404	25.409	50	}			
{	10494	4	1.240	23.843	27	}			
{	10495	4	1.510	22.800	82	}			
{	10496	0	0.000	0.000	0	}			
{	10497	4	1.517	21.413	82	}			
{	10498	4	1.277	17.192	30	}			
{	10499	3	60.794	36.975	52	}			
{	10500	3	77.684	47.217	66	}			
{	10501	3	20.680	12.572	18	}			
{	10502	4	1.431	31.196	58	}			
{	10503	4	1.441	25.236	59	}			
{	10504	4	1.401	17.325	42	}			
{	10505	3	35.851	21.794	30	}			
{	10506	3	54.292	33.254	41	}			
{	10507	4	1.311	32.162	36	}			
{	10508	4	1.327	26.419	37	}			
{	10509	4	1.063	14.049	13	}			
{	10510	4	1.282	14.049	27	}			
