Regional Stop ID,BM Trip ID,BM Stop ID
9,446300,82018103
11,446300,81038007
13,446300,80078013
27,116800,96108901
31,116800,89018801
33,116800,88018701
35,116800,87018601
37,116800,86018006
13,116800,80068013
27,216800,96108901
31,216800,89018801
33,216800,88018701
35,216800,87018601
37,216800,86018006
13,216800,80068013
27,316800,96108901
31,316800,89018801
33,316800,88018701
35,316800,87018601
37,316800,86018006
13,316800,80068013
27,416800,96108901
31,416800,89018801
33,416800,88018701
35,416800,87018601
37,416800,86018006
13,416800,80068013
13,126800,80008006
37,126800,86028704
35,126800,87048804
33,126800,88048904
31,126800,89049605
27,126800,96059612
13,226800,80008006
37,226800,86028704
35,226800,87048804
33,226800,88048904
31,226800,89049605
27,226800,96059612
13,326800,80008006
37,326800,86028704
35,326800,87048804
33,326800,88048904
31,326800,89049605
27,326800,96059612
13,426800,80008006
37,426800,86028704
35,426800,87048804
33,426800,88048904
31,426800,89049605
27,426800,96059612
27,136800,96108901
31,136800,89018801
33,136800,88018701
35,136800,87018601
37,136800,86018006
13,136800,80068013
27,236800,96108901
31,236800,89018801
33,236800,88018701
35,236800,87018601
37,236800,86018006
13,236800,80068013
27,336800,96108901
31,336800,89018801
33,336800,88018701
35,336800,87018601
37,336800,86018006
13,336800,80068013
27,436800,96108901
31,436800,89018801
33,436800,88018701
35,436800,87018601
37,436800,86018006
13,436800,80068013
13,146800,80008006
37,146800,86028704
35,146800,87048804
33,146800,88048904
31,146800,89049605
27,146800,96059612
13,246800,80008006
37,246800,86028704
35,246800,87048804
33,246800,88048904
31,246800,89049605
27,246800,96059612
13,346800,80008006
37,346800,86028704
35,346800,87048804
33,346800,88048904
31,346800,89049605
27,346800,96059612
13,446800,80008006
37,446800,86028704
35,446800,87048804
33,446800,88048904
31,446800,89049605
27,446800,96059612
27,117800,96108901
31,117800,89018801
33,117800,88018701
35,117800,87018601
37,117800,86018006
13,117800,80068013
27,217800,96108901
31,217800,89018801
33,217800,88018701
35,217800,87018601
37,217800,86018006
13,217800,80068013
27,317800,96108901
31,317800,89018801
33,317800,88018701
35,317800,87018601
37,317800,86018006
13,317800,80068013
27,417800,96108901
31,417800,89018801
33,417800,88018701
35,417800,87018601
37,417800,86018006
13,417800,80068013
13,127800,80008006
37,127800,86028704
35,127800,87048804
33,127800,88048904
31,127800,89049605
27,127800,96059612
13,227800,80008006
37,227800,86028704
35,227800,87048804
33,227800,88048904
31,227800,89049605
27,227800,96059612
13,327800,80008006
37,327800,86028704
35,327800,87048804
33,327800,88048904
31,327800,89049605
27,327800,96059612
13,427800,80008006
37,427800,86028704
35,427800,87048804
33,427800,88048904
31,427800,89049605
27,427800,96059612
27,137800,96108901
31,137800,89018801
33,137800,88018701
35,137800,87018601
37,137800,86018006
13,137800,80068013
27,237800,96108901
31,237800,89018801
33,237800,88018701
35,237800,87018601
37,237800,86018006
13,237800,80068013
27,337800,96108901
31,337800,89018801
33,337800,88018701
35,337800,87018601
37,337800,86018006
13,337800,80068013
27,437800,96108901
31,437800,89018801
33,437800,88018701
35,437800,87018601
37,437800,86018006
13,437800,80068013
13,147800,80008006
37,147800,86028704
35,147800,87048804
33,147800,88048904
31,147800,89049605
