TSP 18 1222001 RSW RSW 25200 25200 0 2
TMV 19 1222001 RSW DTA 25200 25260 51 1
TSP 20 1222001 DTA DTA 25260 25260 0 2
TMV 21 1222001 DTA DT 25260 25392 127 1
TSP 22 1222001 DT DT 25392 25440 48 2
TMV 38 1222001 DT DTZ 25440 25560 105 2
TSP 26 1222001 DTZ DTZ 25560 25560 0 2
Train 1322000 DTZ LEDN 22920 24600 _ 180 
TSP 26 1322000 DTZ DTZ 22920 22920 0 1
TMV 38 1322000 DTZ DT 22920 22992 72 1
TSP 22 1322000 DT DT 22992 23040 48 1
TMV 23 1322000 DT NGSFA 23040 23100 60 1
TSP 24 1322000 NGSFA NGSFA 23100 23100 0 1
TMV 39 1322000 NGSFA DTA 23100 23160 47 1
TSP 20 1322000 DTA DTA 23160 23160 0 4
TMV 19 1322000 DTA RSW 23160 23220 54 1
TSP 18 1322000 RSW RSW 23220 23220 0 4
TMV 17 1322000 RSW GVMW 23220 23280 51 4
TSP 16 1322000 GVMW GVMW 23280 23280 0 4
TMV 15 1322000 GVMW GV 23280 23460 147 4
TSP 14 1322000 GV GV 23460 23580 120 5
TMV 41 1322000 GV LAA 23580 23712 119 1
TSP 10 1322000 LAA LAA 23712 23760 48 4
TMV 9 1322000 LAA GVM 23760 23880 112 2
TSP 8 1322000 GVM GVM 23880 23880 0 3
TMV 7 1322000 GVM VST 23880 24000 120 3
TSP 6 1322000 VST VST 24000 24000 0 3
TMV 5 1322000 VST DVNK 24000 24060 60 3
TSP 4 1322000 DVNK DVNK 24060 24060 0 3
TMV 3 1322000 DVNK VKBR 24060 24120 20 1
TSP 2 1322000 VKBR VKBR 24120 24120 0 3
TMV 1 1322000 VKBR LEDN 24120 24300 123 1
TSP 0 1322000 LEDN LEDN 24300 24600 300 4
Train 1422001 LEDN DTZ 22200 23760 _ 180 
TSP 0 1422001 LEDN LEDN 22200 22500 300 6
TMV 1 1422001 LEDN VKBR 22500 22560 60 1
TSP 2 1422001 VKBR VKBR 22560 22560 0 2
TMV 3 1422001 VKBR DVNK 22560 22620 25 1
TSP 4 1422001 DVNK DVNK 22620 22620 0 2
TMV 5 1422001 DVNK VST 22620 22680 60 1
TSP 6 1422001 VST VST 22680 22680 0 2
TMV 7 1422001 VST GVM 22680 22860 161 2
TSP 8 1422001 GVM GVM 22860 22860 0 2
TMV 9 1422001 GVM LAA 22860 22992 89 3
TSP 10 1422001 LAA LAA 22992 23040 48 3
TMV 41 1422001 LAA GV 23040 23220 144 1
TSP 14 1422001 GV GV 23220 23280 60 3
TMV 15 1422001 GV GVMW 23280 23340 60 3
TSP 16 1422001 GVMW GVMW 23340 23340 0 2
TMV 17 1422001 GVMW RSW 23340 23400 52 1
TSP 18 1422001 RSW RSW 23400 23400 0 2
TMV 19 1422001 RSW DTA 23400 23460 51 1
TSP 20 1422001 DTA DTA 23460 23460 0 2
TMV 21 1422001 DTA DT 23460 23592 127 1
TSP 22 1422001 DT DT 23592 23640 48 2
TMV 38 1422001 DT DTZ 23640 23760 105 2
TSP 26 1422001 DTZ DTZ 23760 23760 0 2
